Region,Country,Item Type,Sales Channel,Order_Shipped,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue
Middle East and North Africa,Tunisia ,Personal Care,Offline,true,11/01/10,888248336,1276,81.73,56.67,104287.48
Europe,Vatican City,Vegetables,Online,true,4/28/2014,778763139,2173,154.06,90.93,334772.38
Sub-Saharan Africa,Djibouti,Snacks,Offline,true,12/22/2012,832713305,7227,152.58,97.44,1102695.66
Europe,Ukraine,Household,Offline,true,8/25/2014,498585164,1285,668.27,502.54,858726.95
Australia and Oceania,East Timor,Fruits,Offline,true,11/26/2016,195177543,6227,9.33,6.92,58097.91
Sub-Saharan Africa,Uganda,Cereal,Online,true,10/20/2010,861601769,5965,205.7,117.11,1227000.5
Sub-Saharan Africa,Guinea,Meat,Online,false,12/18/2014,807281672,1441,421.89,364.69,607943.49
Sub-Saharan Africa,Equatorial Guinea,Clothes,Offline,false,3/20/2011,661953580,5629,109.28,35.84,615137.12
Europe,Malta,Cosmetics,Online,false,07/12/16,225666320,8534,437.2,263.33,3731064.8
Europe,Cyprus,Household,Offline,false,1/26/2011,718781220,2191,668.27,502.54,1464179.57
Europe,Czech Republic,Office Supplies,Online,false,2/24/2010,731972110,5668,651.21,524.96,3691058.28
Middle East and North Africa,Libya,Vegetables,Online,false,01/02/15,276225316,64,154.06,90.93,9859.84
Asia,Vietnam,Office Supplies,Offline,false,7/26/2016,332839667,3509,651.21,524.96,2285095.89
Middle East and North Africa,Jordan,Vegetables,Online,false,06/01/14,603426492,6163,154.06,90.93,949471.78
Sub-Saharan Africa,Mali,Beverages,Offline,false,12/21/2012,859909617,5220,47.45,31.79,247689
Europe,Czech Republic,Household,Online,false,2/27/2010,494525372,9902,668.27,502.54,6617209.54
Europe,Slovakia,Vegetables,Online,false,4/24/2016,769822585,6465,154.06,90.93,995997.9
Sub-Saharan Africa,Zimbabwe,Vegetables,Offline,false,7/22/2012,768662583,3195,154.06,90.93,492221.7
Central America and the Caribbean,Honduras,Cereal,Online,false,2/22/2015,544219195,5409,205.7,117.11,1112631.3
Europe,Switzerland,Beverages,Offline,false,02/10/11,669978749,455,47.45,31.79,21589.75
Sub-Saharan Africa,South Africa,Cosmetics,Offline,false,1/21/2015,889740073,2715,437.2,263.33,1186998
Sub-Saharan Africa,Uganda,Beverages,Online,false,05/10/12,567614495,8598,47.45,31.79,407975.1
Middle East and North Africa,Iran,Vegetables,Offline,false,12/16/2015,938025844,1547,154.06,90.93,238330.82
Middle East and North Africa,Algeria,Vegetables,Online,false,2/25/2017,155710446,7036,154.06,90.93,1083966.16
Sub-Saharan Africa,Central African Republic,Baby Food,Online,false,1/31/2012,945717132,7570,255.28,159.42,1932469.6
Central America and the Caribbean,The Bahamas,Cosmetics,Offline,false,02/07/13,253407227,7685,437.2,263.33,3359882
Sub-Saharan Africa,South Africa,Household,Offline,false,9/14/2014,494454562,8948,668.27,502.54,5979679.96
Sub-Saharan Africa,Benin,Cereal,Online,false,06/05/12,104845464,4957,205.7,117.11,1019654.9
Europe,Hungary,Cosmetics,Online,false,04/05/14,290878760,6344,437.2,263.33,2773596.8
Europe,Austria,Office Supplies,Offline,false,02/02/14,979165780,5768,651.21,524.96,3756179.28
Asia,Tajikistan,Office Supplies,Offline,false,09/01/10,366630351,2923,651.21,524.96,1903486.83
Europe,Portugal,Office Supplies,Online,false,5/17/2011,770508801,9532,651.21,524.96,6207333.72
Europe,Belgium,Beverages,Offline,false,4/21/2013,978349959,4349,47.45,31.79,206360.05
Europe,Slovenia,Beverages,Offline,true,08/10/14,298015153,8161,47.45,31.79,387239.45
Europe,Czech Republic,Snacks,Online,true,9/19/2010,807678210,8786,152.58,97.44,1340567.88
Australia and Oceania,Marshall Islands,Personal Care,Offline,true,4/13/2013,605825459,6071,81.73,56.67,496182.83
Sub-Saharan Africa,Sudan,Fruits,Online,true,1/28/2016,561255729,6897,9.33,6.92,64349.01
Central America and the Caribbean,Dominican Republic,Clothes,Online,true,12/09/13,263080346,175,109.28,35.84,19124
Sub-Saharan Africa,Tanzania,Cereal,Offline,true,2/21/2014,270723140,1848,205.7,117.11,380133.6
Europe,Switzerland,Clothes,Offline,true,06/09/17,763920438,9888,109.28,35.84,1080560.64
North America,Greenland,Household,Online,false,4/17/2014,192721068,9302,668.27,502.54,6216247.54
Australia and Oceania,Tonga,Fruits,Offline,true,5/20/2011,227486360,7124,9.33,6.92,66466.92
Middle East and North Africa,Saudi Arabia,Vegetables,Online,true,8/28/2012,808890140,7422,154.06,90.93,1143433.32
Central America and the Caribbean,Belize,Cosmetics,Offline,true,7/25/2015,597918736,6296,437.2,263.33,2752611.2
Sub-Saharan Africa,Angola,Cosmetics,Online,true,10/27/2014,125870978,6874,437.2,263.33,3005312.8
Asia,Malaysia,Household,Online,true,10/18/2013,444358193,4319,668.27,502.54,2886258.13
Sub-Saharan Africa,Ethiopia,Beverages,Online,true,2/15/2013,875304210,822,47.45,31.79,39003.9
North America,Greenland,Baby Food,Offline,true,07/08/14,360945355,607,255.28,159.42,154954.96
Sub-Saharan Africa,Benin,Cereal,Offline,false,12/12/16,613830459,4928,205.7,117.11,1013689.6
Middle East and North Africa,Yemen,Cereal,Offline,false,11/24/2012,266820847,7073,205.7,117.11,1454916.1
Sub-Saharan Africa,Rwanda,Baby Food,Offline,false,11/03/14,723090350,7358,255.28,159.42,1878350.24
Sub-Saharan Africa,Mauritania,Meat,Offline,false,08/03/13,306125295,8132,421.89,364.69,3430809.48
Australia and Oceania,New Zealand,Personal Care,Online,false,5/23/2012,109724509,8775,81.73,56.67,717180.75
Australia and Oceania,Samoa ,Clothes,Offline,false,7/22/2015,847999322,699,109.28,35.84,76386.72
Australia and Oceania,Fiji,Clothes,Online,false,02/01/17,605373561,2344,109.28,35.84,256152.32
Sub-Saharan Africa,Malawi,Beverages,Online,false,1/28/2012,686583554,4186,47.45,31.79,198625.7
Australia and Oceania,Marshall Islands,Beverages,Offline,false,08/03/15,666678130,3729,47.45,31.79,176941.05
Central America and the Caribbean,Grenada,Baby Food,Online,false,6/23/2013,641018617,508,255.28,159.42,129682.24
Europe,Luxembourg,Meat,Online,false,08/03/11,775278842,1093,421.89,364.69,461125.77
Sub-Saharan Africa,Zimbabwe,Meat,Offline,false,10/30/2016,855445134,4080,421.89,364.69,1721311.2
Asia,China,Vegetables,Online,false,09/05/10,737816321,5100,154.06,90.93,785706
North America,United States of America,Beverages,Online,false,7/13/2013,799003732,1815,47.45,31.79,86121.75
Sub-Saharan Africa,Central African Republic,Vegetables,Online,false,10/09/12,585931193,8916,154.06,90.93,1373598.96
Central America and the Caribbean,Antigua and Barbuda ,Vegetables,Online,false,01/03/12,165835034,3127,154.06,90.93,481745.62
Central America and the Caribbean,Guatemala,Baby Food,Offline,false,02/08/12,576264083,8203,255.28,159.42,2094061.84
Middle East and North Africa,Qatar,Clothes,Offline,false,01/03/15,675079667,9930,109.28,35.84,1085150.4
Middle East and North Africa,Israel,Personal Care,Online,false,5/13/2012,290455615,1126,81.73,56.67,92027.98
Asia,Thailand,Snacks,Offline,false,1/13/2012,670878255,6639,152.58,97.44,1012978.62
Asia,Singapore,Cereal,Online,false,7/30/2011,435146415,8349,205.7,117.11,1717389.3
Asia,North Korea,Snacks,Online,false,3/13/2017,522371423,167,152.58,97.44,25480.86
Europe,Austria,Office Supplies,Online,false,3/23/2017,141977107,3036,651.21,524.96,1977073.56
Asia,Japan,Baby Food,Offline,false,3/16/2016,823699796,9929,255.28,159.42,2534675.12
Sub-Saharan Africa,Zimbabwe,Beverages,Offline,false,12/18/2015,567588317,851,47.45,31.79,40379.95
Europe,Lithuania,Fruits,Offline,false,10/25/2011,594003999,7838,9.33,6.92,73128.54
Europe,Luxembourg,Baby Food,Offline,false,6/30/2011,393620669,9958,255.28,159.42,2542078.24
Sub-Saharan Africa,Central African Republic,Cosmetics,Offline,true,3/27/2016,877424657,8309,437.2,263.33,3632694.8
Europe,Norway,Household,Offline,true,12/23/2016,326714789,1021,668.27,502.54,682303.67
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,true,4/18/2013,243102395,8256,9.33,6.92,77028.48
Australia and Oceania,New Zealand,Household,Offline,true,03/08/17,398511302,7205,668.27,502.54,4814885.35
Europe,Ukraine,Personal Care,Offline,true,06/03/11,185177838,7092,81.73,56.67,579629.16
Asia,Taiwan,Personal Care,Offline,true,11/30/2013,865650832,4173,81.73,56.67,341059.29
Europe,Italy,Cereal,Offline,true,05/11/13,622791612,6733,205.7,117.11,1384978.1
Europe,Finland,Personal Care,Online,true,11/13/2010,409774005,89,81.73,56.67,7273.97
Sub-Saharan Africa,Sudan,Office Supplies,Online,true,03/09/16,800084340,1591,651.21,524.96,1036075.11
Europe,Croatia,Snacks,Offline,true,8/19/2013,637521445,5618,152.58,97.44,857194.44
Sub-Saharan Africa,Mauritania,Beverages,Online,true,4/19/2011,186196649,8581,47.45,31.79,407168.45
Australia and Oceania,New Zealand,Baby Food,Offline,true,7/20/2014,680533778,3923,255.28,159.42,1001463.44
Middle East and North Africa,Pakistan,Beverages,Online,true,09/08/14,275269162,7117,47.45,31.79,337701.65
Europe,Poland,Household,Online,true,06/04/15,795451629,668,668.27,502.54,446404.36
Europe,Lithuania,Cereal,Offline,true,12/19/2013,986442506,9113,205.7,117.11,1874544.1
Middle East and North Africa,Pakistan,Cereal,Offline,true,5/18/2012,563915622,4019,205.7,117.11,826708.3
Australia and Oceania,East Timor,Cosmetics,Offline,true,10/12/13,663857305,8984,437.2,263.33,3927804.8
Australia and Oceania,Marshall Islands,Fruits,Online,true,01/02/11,692566382,4638,9.33,6.92,43272.54
Central America and the Caribbean,Cuba,Household,Offline,true,02/02/13,576654183,3642,668.27,502.54,2433839.34
North America,Greenland,Baby Food,Offline,true,3/19/2011,313044536,5689,255.28,159.42,1452287.92
Europe,Luxembourg,Personal Care,Offline,true,10/03/12,418973767,2503,81.73,56.67,204570.19
Middle East and North Africa,Israel,Beverages,Online,true,10/23/2014,581990706,2838,47.45,31.79,134663.1
Sub-Saharan Africa,Djibouti,Baby Food,Online,true,07/12/15,109956681,7480,255.28,159.42,1909494.4
Europe,Bulgaria,Cereal,Online,true,05/06/10,181045520,4247,205.7,117.11,873607.9
Asia,Mongolia,Vegetables,Online,true,11/27/2010,693743550,2988,154.06,90.93,460331.28
Central America and the Caribbean,Dominican Republic,Clothes,Offline,true,12/26/2010,716849601,582,109.28,35.84,63600.96
Middle East and North Africa,Yemen,Cosmetics,Online,true,12/30/2012,739474999,5940,437.2,263.33,2596968
Australia and Oceania,Federated States of Micronesia,Personal Care,Online,true,8/21/2016,421043574,5005,81.73,56.67,409058.65
Europe,Finland,Personal Care,Online,true,02/03/15,841291654,5751,81.73,56.67,470029.23
Central America and the Caribbean,The Bahamas,Cereal,Offline,true,12/19/2013,450268065,3181,205.7,117.11,654331.7
Central America and the Caribbean,Grenada,Meat,Online,true,05/12/12,918334138,4334,421.89,364.69,1828471.26
Sub-Saharan Africa,Sao Tome and Principe,Meat,Offline,true,3/28/2014,386163699,3275,421.89,364.69,1381689.75
Central America and the Caribbean,El Salvador,Personal Care,Offline,true,01/11/17,214743077,6103,81.73,56.67,498798.19
Europe,Sweden,Baby Food,Online,true,6/21/2015,935371100,5949,255.28,159.42,1518660.72
Asia,Turkmenistan,Cosmetics,Offline,true,11/29/2012,899659097,7974,437.2,263.33,3486232.8
Europe,Monaco,Vegetables,Online,true,01/01/10,329530894,4369,154.06,90.93,673088.14
Middle East and North Africa,Turkey,Meat,Online,false,01/06/16,867222821,9359,421.89,364.69,3948468.51
Sub-Saharan Africa,Mozambique,Beverages,Online,true,10/14/2014,625283706,4199,47.45,31.79,199242.55
Middle East and North Africa,Yemen,Office Supplies,Offline,true,12/09/13,936574876,2173,651.21,524.96,1415079.33
Asia,Philippines,Cereal,Offline,true,10/19/2010,504270160,3601,205.7,117.11,740725.7
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Offline,true,05/02/11,351855885,830,81.73,56.67,67835.9
Australia and Oceania,Fiji,Snacks,Online,true,3/17/2011,673130881,3241,152.58,97.44,494511.78
Europe,Macedonia,Office Supplies,Offline,true,9/24/2014,382206475,2244,651.21,524.96,1461315.24
Middle East and North Africa,Tunisia ,Cereal,Online,true,12/01/15,263506495,6283,205.7,117.11,1292413.1
Europe,Liechtenstein,Cereal,Offline,false,06/02/17,721767270,5829,205.7,117.11,1199025.3
Middle East and North Africa,Qatar,Cosmetics,Online,false,08/04/11,432037627,8390,437.2,263.33,3668108
Australia and Oceania,Tonga,Meat,Offline,false,7/29/2014,389678895,3499,421.89,364.69,1476193.11
Europe,Belgium,Meat,Online,false,1/26/2017,760364902,7726,421.89,364.69,3259522.14
Sub-Saharan Africa,Chad,Fruits,Offline,false,11/05/10,430081975,9669,9.33,6.92,90211.77
Asia,Thailand,Baby Food,Online,false,3/26/2015,155128943,4957,255.28,159.42,1265422.96
Europe,Iceland,Clothes,Offline,false,10/07/12,312117135,1251,109.28,35.84,136709.28
Central America and the Caribbean,Saint Lucia,Meat,Offline,false,7/22/2013,447970378,3245,421.89,364.69,1369033.05
Asia,Japan,Cosmetics,Offline,false,8/16/2013,629925000,7661,437.2,263.33,3349389.2
Asia,India,Personal Care,Offline,false,11/05/13,995529830,8254,81.73,56.67,674599.42
Australia and Oceania,Vanuatu,Office Supplies,Online,false,03/01/16,402646195,812,651.21,524.96,528782.52
Sub-Saharan Africa,Chad,Meat,Offline,false,3/25/2012,479447925,8150,421.89,364.69,3438403.5
Sub-Saharan Africa,Malawi,Cosmetics,Offline,false,6/20/2017,674421346,5118,437.2,263.33,2237589.6
Europe,Finland,Cosmetics,Online,false,4/18/2014,506365287,3596,437.2,263.33,1572171.2
Middle East and North Africa,Turkey,Clothes,Online,false,6/28/2016,914391076,7494,109.28,35.84,818944.32
Sub-Saharan Africa,South Africa,Meat,Online,false,5/20/2012,207922542,7755,421.89,364.69,3271756.95
Europe,Lithuania,Office Supplies,Offline,false,02/04/14,816696012,7353,651.21,524.96,4788347.13
Europe,Russia,Beverages,Offline,false,11/15/2015,740760314,6293,47.45,31.79,298602.85
Central America and the Caribbean,The Bahamas,Baby Food,Online,false,01/11/13,300476777,6610,255.28,159.42,1687400.8
Central America and the Caribbean,The Bahamas,Snacks,Online,false,4/24/2013,786519229,7373,152.58,97.44,1124972.34
Middle East and North Africa,Turkey,Cosmetics,Offline,false,5/15/2010,409873998,9679,437.2,263.33,4231658.8
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,false,4/17/2010,151839911,1659,437.2,263.33,725314.8
Europe,Bulgaria,Vegetables,Online,false,8/25/2012,614028298,3473,154.06,90.93,535050.38
Middle East and North Africa,Iran,Household,Offline,false,4/19/2014,668362987,2315,668.27,502.54,1547045.05
Sub-Saharan Africa,Ghana,Household,Online,false,2/26/2013,607080304,7408,668.27,502.54,4950544.16
Sub-Saharan Africa,Malawi,Baby Food,Online,false,12/28/2011,792729079,5006,255.28,159.42,1277931.68
Sub-Saharan Africa,Zimbabwe,Baby Food,Offline,false,8/21/2014,308170640,3395,255.28,159.42,866675.6
Asia,Tajikistan,Vegetables,Online,true,8/21/2014,106578814,7894,154.06,90.93,1216149.64
Europe,Czech Republic,Cereal,Online,true,03/02/14,761439931,5851,205.7,117.11,1203550.7
Sub-Saharan Africa,Mauritius ,Household,Online,true,09/06/12,216552817,1646,668.27,502.54,1099972.42
Sub-Saharan Africa,Lesotho,Fruits,Online,true,9/16/2010,536028802,1689,9.33,6.92,15758.37
Sub-Saharan Africa,Mali,Beverages,Online,true,8/13/2013,254291713,9424,47.45,31.79,447168.8
Europe,Georgia,Personal Care,Online,true,09/11/12,226077878,323,81.73,56.67,26398.79
Europe,Albania,Office Supplies,Offline,true,8/31/2011,476436126,6892,651.21,524.96,4488139.32
Europe,Cyprus,Cosmetics,Offline,false,4/21/2015,650727784,3667,437.2,263.33,1603212.4
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,true,07/11/10,464626681,2215,668.27,502.54,1480218.05
Middle East and North Africa,Tunisia ,Meat,Offline,true,08/09/15,154119145,6135,421.89,364.69,2588295.15
Central America and the Caribbean,Cuba,Meat,Online,true,10/17/2015,925504004,6057,421.89,364.69,2555387.73
Australia and Oceania,Kiribati,Cereal,Offline,true,7/24/2012,905392587,4641,205.7,117.11,954653.7
Asia,Cambodia,Snacks,Online,true,3/25/2012,990708720,1581,152.58,97.44,241228.98
Europe,Moldova ,Baby Food,Online,true,08/11/14,798688733,8600,255.28,159.42,2195408
Asia,Uzbekistan,Cereal,Offline,true,10/15/2016,916881453,4452,205.7,117.11,915776.4
Asia,India,Cosmetics,Offline,false,12/03/16,653148210,9924,437.2,263.33,4338772.8
Europe,Germany,Personal Care,Offline,false,06/12/10,285662829,2834,81.73,56.67,231622.82
Europe,Austria,Vegetables,Online,false,7/29/2016,612911641,3030,154.06,90.93,466801.8
Europe,Germany,Office Supplies,Offline,false,12/09/13,703693473,7391,651.21,524.96,4813093.11
Asia,Bhutan,Clothes,Online,false,07/12/12,147119653,4829,109.28,35.84,527713.12
Asia,Kyrgyzstan,Fruits,Online,false,1/14/2012,402614009,1287,9.33,6.92,12007.71
Middle East and North Africa,Somalia,Personal Care,Online,false,3/20/2013,749912869,4738,81.73,56.67,387236.74
Central America and the Caribbean,Saint Lucia,Household,Online,false,02/10/14,539065062,186,668.27,502.54,124298.22
Europe,Armenia,Snacks,Offline,false,10/26/2013,540431916,4668,152.58,97.44,712243.44
North America,Canada,Beverages,Online,false,4/16/2016,694687259,2252,47.45,31.79,106857.4
Sub-Saharan Africa,Burundi,Cosmetics,Offline,false,5/27/2011,562817418,9036,437.2,263.33,3950539.2
Europe,Liechtenstein,Cereal,Online,false,08/04/16,676121222,8149,205.7,117.11,1676249.3
Middle East and North Africa,Tunisia ,Snacks,Offline,false,07/03/12,286210000,4754,152.58,97.44,725365.32
Middle East and North Africa,Iraq,Beverages,Online,false,12/04/14,515007579,1042,47.45,31.79,49442.9
Asia,Indonesia,Cosmetics,Offline,false,5/31/2010,304750287,1237,437.2,263.33,540816.4
Asia,Kazakhstan,Beverages,Online,false,02/05/13,467986953,6594,47.45,31.79,312885.3
Europe,Denmark,Beverages,Offline,false,6/15/2015,537578904,399,47.45,31.79,18932.55
Europe,Luxembourg,Vegetables,Offline,false,10/21/2014,116699969,2969,154.06,90.93,457404.14
Sub-Saharan Africa,Cape Verde,Snacks,Offline,false,2/13/2017,228836476,6653,152.58,97.44,1015114.74
Australia and Oceania,Palau,Vegetables,Offline,false,6/29/2010,167787253,832,154.06,90.93,128177.92
Australia and Oceania,Australia,Vegetables,Online,false,5/19/2014,647663629,6915,154.06,90.93,1065324.9
Central America and the Caribbean,Nicaragua,Meat,Offline,false,3/21/2015,652889430,3346,421.89,364.69,1411643.94
Asia,Laos,Office Supplies,Offline,false,8/31/2015,588200986,598,651.21,524.96,389423.58
Central America and the Caribbean,Cuba,Personal Care,Online,false,8/23/2015,928647124,6176,81.73,56.67,504764.48
Europe,Moldova ,Cosmetics,Offline,false,2/24/2016,869589173,9615,437.2,263.33,4203678
Middle East and North Africa,Syria,Household,Online,false,6/17/2015,576700961,7485,668.27,502.54,5002000.95
Central America and the Caribbean,The Bahamas,Cereal,Offline,false,11/27/2012,735968816,8382,205.7,117.11,1724177.4
Europe,Belarus,Snacks,Offline,true,09/07/12,303691565,7938,152.58,97.44,1211180.04
Middle East and North Africa,United Arab Emirates,Clothes,Offline,true,6/23/2012,556480538,3812,109.28,35.84,416575.36
Sub-Saharan Africa,Angola,Beverages,Offline,true,10/23/2014,141259562,698,47.45,31.79,33120.1
Central America and the Caribbean,Cuba,Cosmetics,Offline,true,9/18/2015,925264966,5320,437.2,263.33,2325904
Europe,Ukraine,Office Supplies,Online,true,1/24/2016,346045577,1431,651.21,524.96,931881.51
Sub-Saharan Africa,Mozambique,Fruits,Offline,true,3/23/2010,861462724,4818,9.33,6.92,44951.94
Europe,Armenia,Personal Care,Online,true,7/26/2012,499690234,8299,81.73,56.67,678277.27
North America,Greenland,Clothes,Online,false,10/20/2015,509214437,6722,109.28,35.84,734580.16
Central America and the Caribbean,Saint Kitts and Nevis ,Office Supplies,Online,true,6/27/2017,408834159,1968,651.21,524.96,1281581.28
Europe,Vatican City,Beverages,Offline,true,04/04/16,237660729,7946,47.45,31.79,377037.7
Europe,Ukraine,Clothes,Online,true,08/05/15,105117976,5600,109.28,35.84,611968
Sub-Saharan Africa,Niger,Cereal,Offline,true,6/16/2012,640942227,7903,205.7,117.11,1625647.1
Asia,Myanmar,Cosmetics,Online,true,04/03/16,745182311,4860,437.2,263.33,2124792
Sub-Saharan Africa,Guinea,Baby Food,Offline,true,9/21/2014,738199555,8508,255.28,159.42,2171922.24
Sub-Saharan Africa,Guinea-Bissau,Snacks,Online,true,08/08/15,110667788,7913,152.58,97.44,1207365.54
Sub-Saharan Africa,South Sudan,Office Supplies,Online,false,7/19/2012,673573338,4174,651.21,524.96,2718150.54
Middle East and North Africa,Turkey,Snacks,Offline,false,8/26/2011,708215034,5421,152.58,97.44,827136.18
Australia and Oceania,Palau,Household,Online,false,6/23/2012,816204202,1816,668.27,502.54,1213578.32
Europe,Poland,Beverages,Offline,false,11/20/2011,769464671,550,47.45,31.79,26097.5
Asia,Malaysia,Beverages,Offline,false,5/13/2015,860232770,848,47.45,31.79,40237.6
North America,United States of America,Personal Care,Offline,false,7/16/2010,551057326,8963,81.73,56.67,732545.99
Europe,Switzerland,Cosmetics,Online,false,5/21/2016,724799668,3183,437.2,263.33,1391607.6
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,false,4/22/2011,534633624,8825,437.2,263.33,3858290
Sub-Saharan Africa,Namibia,Beverages,Offline,false,8/14/2012,554045522,3237,47.45,31.79,153595.65
Europe,Ireland,Clothes,Online,false,3/17/2012,526834189,799,109.28,35.84,87314.72
Sub-Saharan Africa,Mozambique,Household,Online,false,08/06/10,717110955,7922,668.27,502.54,5294034.94
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,Offline,false,2/25/2013,559299647,8049,255.28,159.42,2054748.72
North America,United States of America,Meat,Online,false,03/06/11,908136594,6654,421.89,364.69,2807256.06
Middle East and North Africa,Azerbaijan,Office Supplies,Offline,false,12/14/2015,888670623,6240,651.21,524.96,4063550.4
Europe,Belgium,Office Supplies,Offline,false,02/10/17,146263062,1345,651.21,524.96,875877.45
Asia,Taiwan,Office Supplies,Offline,false,9/20/2016,196587741,3536,651.21,524.96,2302678.56
Central America and the Caribbean,Panama,Baby Food,Online,false,4/30/2010,375630986,6411,255.28,159.42,1636600.08
Europe,Andorra,Beverages,Offline,false,6/25/2013,989691627,600,47.45,31.79,28470
Europe,Georgia,Household,Offline,false,07/04/12,165380990,8765,668.27,502.54,5857386.55
Central America and the Caribbean,Barbados,Snacks,Online,false,9/21/2013,599622905,597,152.58,97.44,91090.26
Europe,Sweden,Personal Care,Offline,false,12/08/16,109653699,7821,81.73,56.67,639210.33
Middle East and North Africa,Algeria,Meat,Offline,false,09/02/11,183022201,9191,421.89,364.69,3877590.99
Europe,Italy,Personal Care,Online,false,3/21/2011,127589738,5494,81.73,56.67,449024.62
Europe,Russia,Fruits,Offline,false,01/08/11,221530139,4546,9.33,6.92,42414.18
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,false,2/22/2015,363329732,6197,651.21,524.96,4035548.37
Middle East and North Africa,Jordan,Fruits,Online,false,5/15/2017,521787345,7325,9.33,6.92,68342.25
Sub-Saharan Africa,Mali,Meat,Online,false,7/14/2012,286014306,6844,421.89,364.69,2887415.16
Middle East and North Africa,Somalia,Cereal,Offline,true,6/25/2015,215434443,694,205.7,117.11,142755.8
Middle East and North Africa,Kuwait,Snacks,Online,true,10/26/2011,489784085,6850,152.58,97.44,1045173
Sub-Saharan Africa,Liberia,Office Supplies,Offline,true,9/24/2014,459112060,316,651.21,524.96,205782.36
Asia,China,Office Supplies,Online,true,9/30/2015,893779695,8128,651.21,524.96,5293034.88
Europe,Andorra,Meat,Offline,true,3/31/2011,834460818,4355,421.89,364.69,1837330.95
Sub-Saharan Africa,Niger,Beverages,Online,true,10/25/2013,742141759,5093,47.45,31.79,241662.85
Europe,Hungary,Vegetables,Offline,true,08/12/10,248121345,3475,154.06,90.93,535358.5
Europe,Monaco,Clothes,Offline,true,7/26/2012,404010903,4659,109.28,35.84,509135.52
Australia and Oceania,Tuvalu,Household,Online,true,9/30/2012,531734263,840,668.27,502.54,561346.8
Sub-Saharan Africa,South Sudan,Baby Food,Online,true,11/09/12,473527753,6240,255.28,159.42,1592947.2
Europe,Cyprus,Cereal,Offline,true,11/19/2011,141940200,2114,205.7,117.11,434849.8
Europe,Poland,Household,Offline,true,06/09/17,869832932,1749,668.27,502.54,1168804.23
Sub-Saharan Africa,Liberia,Snacks,Online,true,9/17/2011,460379779,5462,152.58,97.44,833391.96
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Online,true,10/23/2015,837067067,5602,154.06,90.93,863044.12
Asia,Kyrgyzstan,Beverages,Online,true,04/03/10,393693625,1547,47.45,31.79,73405.15
Europe,Slovakia,Vegetables,Offline,true,07/03/14,744370782,4711,154.06,90.93,725776.66
Asia,Malaysia,Cosmetics,Offline,true,12/30/2014,873522365,3534,437.2,263.33,1545064.8
Sub-Saharan Africa,Liberia,Beverages,Online,true,5/19/2014,285884702,8491,47.45,31.79,402897.95
Australia and Oceania,Vanuatu,Cosmetics,Online,true,08/04/12,356506621,7086,437.2,263.33,3097999.2
Australia and Oceania,Kiribati,Baby Food,Offline,true,8/15/2010,280749452,8856,255.28,159.42,2260759.68
Middle East and North Africa,Turkey,Baby Food,Online,true,4/26/2014,224287021,368,255.28,159.42,93943.04
Europe,San Marino,Fruits,Offline,true,06/10/15,873105657,221,9.33,6.92,2061.93
Europe,Vatican City,Snacks,Offline,true,08/12/10,283504188,4044,152.58,97.44,617033.52
Middle East and North Africa,Morocco,Beverages,Offline,true,8/28/2012,632093942,9499,47.45,31.79,450727.55
Sub-Saharan Africa,Equatorial Guinea,Meat,Offline,true,7/15/2016,565798747,1277,421.89,364.69,538753.53
Middle East and North Africa,Jordan,Vegetables,Online,true,9/14/2010,151854932,6104,154.06,90.93,940382.24
Asia,Kyrgyzstan,Vegetables,Online,true,03/07/11,427811324,7733,154.06,90.93,1191345.98
Sub-Saharan Africa,Republic of the Congo,Fruits,Online,true,4/30/2012,251529252,1950,9.33,6.92,18193.5
Australia and Oceania,East Timor,Snacks,Offline,true,5/18/2013,351182544,1574,152.58,97.44,240160.92
Europe,Estonia,Meat,Offline,true,08/10/14,175257527,1452,421.89,364.69,612584.28
Asia,Bangladesh,Snacks,Online,true,7/31/2013,142553031,3465,152.58,97.44,528689.7
Sub-Saharan Africa,Senegal,Fruits,Offline,true,07/02/16,292180383,1523,9.33,6.92,14209.59
Middle East and North Africa,Pakistan,Fruits,Offline,true,9/13/2011,733563411,6569,9.33,6.92,61288.77
Europe,Czech Republic,Beverages,Online,true,4/18/2011,296438443,1578,47.45,31.79,74876.1
Sub-Saharan Africa,Ghana,Meat,Offline,true,02/09/17,580854308,6552,421.89,364.69,2764223.28
Asia,Japan,Cosmetics,Offline,true,11/20/2016,107172334,3530,437.2,263.33,1543316
Asia,Kazakhstan,Baby Food,Offline,false,10/16/2010,166066348,1578,255.28,159.42,402831.84
Central America and the Caribbean,The Bahamas,Snacks,Offline,true,3/15/2015,768522679,1794,152.58,97.44,273728.52
Sub-Saharan Africa,Ethiopia,Household,Online,true,6/25/2013,195840156,2309,668.27,502.54,1543035.43
Sub-Saharan Africa,Burkina Faso,Cosmetics,Offline,true,10/11/12,849630105,3284,437.2,263.33,1435764.8
